"AreaID","Population","EV_Stations","ClosenessCentrality","EV_UnderservedScore","PriorityRank"
"Surrey",700459,130,0.354838709677419,1462684.12787416,1
"Richmond",242966,126,0.2,928499.989501312,2
"Vernon",49167,16,0.333333333333333,842201.788235294,3
"Prince George",84905,34,0.282051282051282,834847.709090909,4
"Abbotsford",175087,59,0.407407407407407,695254.56,5
"Kelowna",165200,67,0.34375,686006.987522282,6
"Vancouver",756008,496,0.244444444444444,604032,7
"Burnaby",298986,171,0.297297297297297,567546.645243129,8
"Kamloops",109633,47,0.44,503868.838383838,9
"Terrace",13252,11,0.224489795918367,477500.347474747,10
"Penticton",38665,31,0.261904761904762,447811,11
"Williams Lake",11369,9,0.354838709677419,311000.717575758,12
"Nanaimo",110707,36,1,290431.336936937,13
"Campbell River",38028,28,0.666666666666667,190926.786206897,14
"Victoria",102856,180,0.666666666666667,82739.4121546961,15
