"","id","station_name.x","city.x","degree_centrality","pagerank_centrality","degree_centrality_normalized","pagerank_centrality_normalized","hub_score","station_name.y","city.y","latitude","longitude","ev_network","access_code","ev_level2_evse_num","ev_dc_fast_num","access_days_time","access","charging_type","has_level2","has_dc_fast"
"21",208845,"City of Vancouver","Vancouver",784,0.000516573070328308,0.997455470737914,0.970395229300594,0.97174824137246,"City of Vancouver","Vancouver",49.23723,-123.0769734,"SHELL_RECHARGE","public",3,0,"6am-9pm daily","public","Level 2 Only",TRUE,FALSE
"25",222144,"Burnaby Hospital","Burnaby",760,0.000512107020741879,0.966921119592875,0.961026995925373,0.961321702108748,"Burnaby Hospital","Burnaby",49.249457,-123.015629,"Non-Networked","public",8,0,"24 hours daily; parking fee required","public","Level 2 Only",TRUE,FALSE
"6",130073,"Okanagan College - Vernon Campus","Vernon",16,0.000530686336794122,0.0203562340966921,1,0.951017811704835,"Okanagan College - Vernon Campus","Vernon",50.235224,-119.282323,"FLO","public",4,0,"24 hours daily","public","Level 2 Only",TRUE,FALSE
"16",185313,"QuadReal - Broadway Tech Centre","Vancouver",775,0.000505156766529053,0.986005089058524,0.946447757109775,0.948425623707212,"QuadReal - Broadway Tech Centre","Vancouver",49.259814,-123.042573,"FLO","public",10,0,"24 hours daily","public","Level 2 Only",TRUE,FALSE
"26",232206,"BENCH 1775 WINE STATION #1","Penticton",50,0.000527976299385877,0.0636132315521628,0.994315275187906,0.947780173006119,"BENCH 1775 WINE STATION #1","Penticton",49.547322,-119.573445,"ChargePoint Network","public",2,0,"24 hours daily","public","Level 2 Only",TRUE,FALSE
"34",312976,"COMMA FRASER STATION 1","Vancouver",786,0.000504133412408738,1,0.944301112734454,0.947086057097731,"COMMA FRASER STATION 1","Vancouver",49.253879,-123.090305,"ChargePoint Network","public",2,0,"24 hours daily","public","Level 2 Only",TRUE,FALSE
"35",312977,"COMMA FRASER STATION 2","Vancouver",786,0.000504133412408735,1,0.944301112734448,0.947086057097726,"COMMA FRASER STATION 2","Vancouver",49.253845,-123.090313,"ChargePoint Network","public",2,0,"24 hours daily","public","Level 2 Only",TRUE,FALSE
"17",197091,"NEWPORT MAIN NEWPORT1","Vancouver",784,0.000503393580756973,0.997455470737914,0.942749200818124,0.945484514314113,"NEWPORT MAIN NEWPORT1","Vancouver",49.25397,-123.100384,"ChargePoint Network","public",2,0,"24 hours daily","public","Level 2 Only",TRUE,FALSE
"43",349415,"On the Run EV Fast Charge","Vancouver",743,0.000504555788658335,0.94529262086514,0.945187112587747,0.945192388001617,"On the Run EV Fast Charge","Vancouver",49.2179,-123.0775,"ON_THE_RUN_EV","public",0,4,"24 hours daily","public","DC Fast Only",FALSE,TRUE
"46",358919,"Electronic Arts-Burnaby - Tesla Destination","Burnaby",744,0.000504323579076824,0.946564885496183,0.944700016887296,0.94479326031774,"Electronic Arts-Burnaby - Tesla Destination","Burnaby",49.247855,-123.010421,"Tesla Destination","private",10,0,NA,"private","Level 2 Only",TRUE,FALSE
"15",174807,"FTNT BBY CAMPUS FORTINET1","Burnaby",750,0.000502933105389208,0.954198473282443,0.941783282140938,0.942404041698013,"FTNT BBY CAMPUS FORTINET1","Burnaby",49.259795,-123.011987,"ChargePoint Network","public",2,0,"24 hours daily","public","Level 2 Only",TRUE,FALSE
"31",249440,"Indigo Park Canada Inc","Burnaby",750,0.000502493185371216,0.954198473282443,0.940860481505785,0.941527381094618,"Indigo Park Canada Inc","Burnaby",49.2602134,-123.0128882,"Non-Networked","private",8,0,NA,"private","Level 2 Only",TRUE,FALSE
"30",249439,"Indigo Park Canada Inc","Burnaby",749,0.000502230648286325,0.9529262086514,0.940309769151768,0.940940591126749,"Indigo Park Canada Inc","Burnaby",49.26046,-123.0110477,"Non-Networked","private",4,0,NA,"private","Level 2 Only",TRUE,FALSE
"7",149944,"FTNT BBY CAMPUS FORTINET2","Burnaby",749,0.000501949208163686,0.9529262086514,0.939719404737086,0.940379744932801,"FTNT BBY CAMPUS FORTINET2","Burnaby",49.259872,-123.012061,"ChargePoint Network","public",2,0,"24 hours daily","public","Level 2 Only",TRUE,FALSE
"14",163244,"FTNT BBY CAMPUS FORTINET 3","Burnaby",748,0.000501854475322795,0.951653944020356,0.939520687874545,0.940127350681836,"FTNT BBY CAMPUS FORTINET 3","Burnaby",49.258628,-123.010456,"ChargePoint Network","public",2,0,"24 hours daily","public","Level 2 Only",TRUE,FALSE
"42",325499,"FTNT BBY CAMPUS FORTINET 4","Burnaby",748,0.000501854475322227,0.951653944020356,0.939520687873354,0.940127350680704,"FTNT BBY CAMPUS FORTINET 4","Burnaby",49.258616,-123.010456,"ChargePoint Network","public",2,0,"24 hours daily","public","Level 2 Only",TRUE,FALSE
"11",163240,"4350 EVSE 4","Burnaby",747,0.000501313165360523,0.950381679389313,0.938385206067467,0.93898502973356,"4350 EVSE 4","Burnaby",49.25882,-123.008272,"ChargePoint Network","public",2,0,"24 hours daily","public","Level 2 Only",TRUE,FALSE
"12",163241,"4321  EVSE 2","Burnaby",747,0.000501152017918002,0.950381679389313,0.938047174252071,0.938663899508933,"4321  EVSE 2","Burnaby",49.259809,-123.009801,"ChargePoint Network","public",2,0,"24 hours daily","public","Level 2 Only",TRUE,FALSE
"47",371694,"On the Run EV Fast Charge","Burnaby",757,0.000500752359896994,0.963104325699746,0.937208829415402,0.938503604229619,"On the Run EV Fast Charge","Burnaby",49.2567,-123.0231,"ON_THE_RUN_EV","public",0,2,"24 hours daily","public","DC Fast Only",FALSE,TRUE
"13",163242,"4333 EVSE 3","Burnaby",746,0.000500610707806277,0.94910941475827,0.936911692131492,0.937521578262831,"4333 EVSE 3","Burnaby",49.259553,-123.0086,"ChargePoint Network","public",2,0,"24 hours daily","public","Level 2 Only",TRUE,FALSE
"27",235974,"4321  EVSE 6","Burnaby",746,0.000500610707806017,0.94910941475827,0.936911692130945,0.937521578262311,"4321  EVSE 6","Burnaby",49.259705,-123.00909,"ChargePoint Network","public",2,0,"24 hours daily","public","Level 2 Only",TRUE,FALSE
"24",220379,"4370 EVSE 5","Burnaby",745,0.000500560378174834,0.947837150127226,0.936806117904443,0.937357669515582,"4370 EVSE 5","Burnaby",49.259146,-123.007479,"ChargePoint Network","public",2,0,"24 hours daily","public","Level 2 Only",TRUE,FALSE
"49",384845,"QuadReal - Broadway Tech Centre - East","Vancouver",766,0.00049987570709993,0.974554707379135,0.935369913874275,0.937329153549518,"QuadReal - Broadway Tech Centre - East","Vancouver",49.25981,-123.040897,"FLO","public",0,1,"24 hours daily","public","DC Fast Only",FALSE,TRUE
"28",238648,"OMA 1 STATION 2","Burnaby",746,0.000499931453206519,0.94910941475827,0.935486850000079,0.936167978237988,"OMA 1 STATION 2","Burnaby",49.262935,-123.009404,"ChargePoint Network","public",2,0,"24 hours daily","public","Level 2 Only",TRUE,FALSE
"29",238652,"OMA 1 STATION 3","Burnaby",746,0.00049993145320651,0.94910941475827,0.93548685000006,0.936167978237971,"OMA 1 STATION 3","Burnaby",49.263068,-123.009479,"ChargePoint Network","public",2,0,"24 hours daily","public","Level 2 Only",TRUE,FALSE
"3",88203,"BC Hydro - Vancouver - Grandview Hwy - Superstore","Vancouver",762,0.000499398450545564,0.969465648854962,0.934368794049108,0.9361236367894,"BC Hydro - Vancouver - Grandview Hwy - Superstore","Vancouver",49.2584,-123.035,"BCHYDRO","public",0,2,"24 hours daily","public","DC Fast Only",FALSE,TRUE
"4",91596,"GRAND VILLA NORTH PARKADE","Burnaby",742,0.000499293406652651,0.944020356234097,0.93414844815182,0.934642043555934,"GRAND VILLA NORTH PARKADE","Burnaby",49.256658,-123.007615,"ChargePoint Network","public",2,0,"24 hours daily","public","Level 2 Only",TRUE,FALSE
"5",105095,"GRAND VILLA SOUTH PARKADE","Burnaby",742,0.000499293406652647,0.944020356234097,0.934148448151811,0.934642043555925,"GRAND VILLA SOUTH PARKADE","Burnaby",49.255987,-123.007418,"ChargePoint Network","public",2,0,"24 hours daily","public","Level 2 Only",TRUE,FALSE
"19",208841,"City of Vancouver","Vancouver",746,0.000498994100167001,0.94910941475827,0.933520606262915,0.934300046687683,"City of Vancouver","Vancouver",49.2274134,-123.0465793,"SHELL_RECHARGE","public",3,0,"24 hours daily","public","Level 2 Only",TRUE,FALSE
"33",308839,"Destination Honda Burnaby - 50kw Fast Charger","Burnaby",746,0.000498987265969671,0.94910941475827,0.933506270471456,0.934286427685797,"Destination Honda Burnaby - 50kw Fast Charger","Burnaby",49.265811,-123.008801,"FLO","public",0,1,"24 hours daily","public","DC Fast Only",FALSE,TRUE
"41",316029,"Destination Honda - Burnaby - MAX Site 1","Burnaby",746,0.000498987265969637,0.94910941475827,0.933506270471383,0.934286427685727,"Destination Honda - Burnaby - MAX Site 1","Burnaby",49.265811,-123.008941,"FLO","public",4,0,"24 hours daily","public","Level 2 Only",TRUE,FALSE
"45",349439,"On the Run EV Fast Charge","Burnaby",738,0.000498094929119742,0.938931297709924,0.931634455190934,0.931999297316883,"On the Run EV Fast Charge","Burnaby",49.2551,-123.0047,"ON_THE_RUN_EV","public",0,4,"24 hours daily","public","DC Fast Only",FALSE,TRUE
"44",349418,"On the Run EV Fast Charge","Vancouver",757,0.000497042679675303,0.963104325699746,0.929427198380708,0.93111105474666,"On the Run EV Fast Charge","Vancouver",49.2585,-123.028,"ON_THE_RUN_EV","public",0,2,"24 hours daily","public","DC Fast Only",FALSE,TRUE
"22",210155,"Quadreal Property Group G.P. Inc","Vancouver",762,0.000496046269721988,0.969465648854962,0.927337073584868,0.929443502348372,"Quadreal Property Group G.P. Inc","Vancouver",49.2615273,-123.0442556,"Non-Networked","public",10,0,"24 hours daily","public","Level 2 Only",TRUE,FALSE
"8",157694,"Canadian Tire Corp","Vancouver",756,0.000494746662586671,0.961832061068702,0.924610945559611,0.926472001335066,"Canadian Tire Corp","Vancouver",49.25966,-123.03106,"Non-Networked","public",0,2,NA,"public","DC Fast Only",FALSE,TRUE
"18",200760,"Vancouver - Grandview","Vancouver",756,0.000494746662586599,0.961832061068702,0.92461094555946,0.926472001334922,"Vancouver - Grandview","Vancouver",49.25966,-123.03106,"FLO","public",1,3,"24 hours daily","public","Level 2 + DC Fast",TRUE,TRUE
"2",84988,"Morrey Nissan","Burnaby",735,0.000495359305663824,0.935114503816794,0.925896059665806,0.926356981873356,"Morrey Nissan","Burnaby",49.261072,-123.004274,"Non-Networked","private",1,0,"24 hours daily","private","Level 2 Only",TRUE,FALSE
"1",84511,"Regius Realty","Vancouver",772,0.000493910815352822,0.982188295165394,0.922857626031652,0.925824159488339,"Regius Realty","Vancouver",49.2571,-123.11774,"Non-Networked","public",2,0,"24 hours daily","public","Level 2 Only",TRUE,FALSE
"50",420654,"Regius Realty","Vancouver",772,0.000493910815352061,0.982188295165394,0.922857626030054,0.925824159486821,"Regius Realty","Vancouver",49.2571,-123.11774,"Non-Networked","private",2,0,"24 hours daily","private","Level 2 Only",TRUE,FALSE
"20",208842,"City of Vancouver","Vancouver",769,0.00049386197563565,0.978371501272265,0.922755177131434,0.925535993338475,"City of Vancouver","Vancouver",49.2551815,-123.0673968,"SHELL_RECHARGE","public",3,0,"10am-8pm daily","public","Level 2 Only",TRUE,FALSE
"10",163066,"SALES LOT CPF25-1","Vancouver",749,0.000493225135103657,0.9529262086514,0.921419305101566,0.922994650279057,"SALES LOT CPF25-1","Vancouver",49.262539,-123.024187,"ChargePoint Network","public",1,0,"24 hours daily","public","Level 2 Only",TRUE,FALSE
"39",315928,"Health Sciences Centre P1-2","Burnaby",728,0.000492668018729324,0.926208651399491,0.920250666887659,0.920548566113251,"Health Sciences Centre P1-2","Burnaby",49.25236,-123.00343,"FLO","public",9,0,"24 hours daily","public","Level 2 Only",TRUE,FALSE
"40",315978,"Health Sciences Centre P1-1","Burnaby",728,0.000492668018729319,0.926208651399491,0.920250666887648,0.92054856611324,"Health Sciences Centre P1-1","Burnaby",49.25236,-123.003563,"FLO","public",11,0,"24 hours daily","public","Level 2 Only",TRUE,FALSE
"48",377843,"Kingsway Honda 4","Vancouver",771,0.000491194455911318,0.980916030534351,0.917159639771865,0.920347459309989,"Kingsway Honda 4","Vancouver",49.2603,-123.09707,"IN_CHARGE","private",3,2,"For fleet use only","private","Level 2 + DC Fast",TRUE,TRUE
"32",303340,"Swtch Energy","Vancouver",765,0.000491383541075583,0.973282442748092,0.917556275302292,0.920342583674582,"Swtch Energy","Vancouver",49.2491543,-123.1154977,"SWTCH","public",2,0,"24 hours daily","public","Level 2 Only",TRUE,FALSE
"9",163002,"STATION 1 FAST CHARGER","Burnaby",749,0.000491526366643437,0.9529262086514,0.917855874136947,0.919609390862669,"STATION 1 FAST CHARGER","Burnaby",49.266351,-123.021904,"ChargePoint Network","public",0,1,"24 hours daily","public","DC Fast Only",FALSE,TRUE
"23",213507,"Health Sciences Centre P1-5","Burnaby",727,0.000492127756280131,0.924936386768448,0.919117382402129,0.919408332620445,"Health Sciences Centre P1-5","Burnaby",49.252094,-123.003563,"FLO","public",11,0,"24 hours daily","public","Level 2 Only",TRUE,FALSE
"36",315896,"Health Sciences Centre P1-3","Burnaby",727,0.000492127756279738,0.924936386768448,0.919117382401305,0.919408332619662,"Health Sciences Centre P1-3","Burnaby",49.252227,-123.003563,"FLO","public",10,0,"24 hours daily","public","Level 2 Only",TRUE,FALSE
"37",315897,"Health Sciences Centre P1-6","Burnaby",727,0.000492127756279732,0.924936386768448,0.91911738240129,0.919408332619648,"Health Sciences Centre P1-6","Burnaby",49.252094,-123.00343,"FLO","public",8,0,"24 hours daily","public","Level 2 Only",TRUE,FALSE
"38",315917,"Health Sciences Centre P1-4","Burnaby",727,0.00049212775627973,0.924936386768448,0.919117382401287,0.919408332619645,"Health Sciences Centre P1-4","Burnaby",49.252227,-123.00343,"FLO","public",11,0,"24 hours daily","public","Level 2 Only",TRUE,FALSE
